Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
ppsv,ppsv,sppsv.f,dppsv.f,ppsv,cppsv.f,zppsv.f,
ppsvx,ppsvx,sppsvx.f,dppsvx.f,ppsvx,cppsvx.f,zppsvx.f,
pptrf,pptrf,spptrf.f,dpptrf.f,pptrf,cpptrf.f,zpptrf.f,
pptri,pptri,spptri.f,dpptri.f,pptri,cpptri.f,zpptri.f,
pptrs,pptrs,spptrs.f,dpptrs.f,pptrs,cpptrs.f,zpptrs.f,
pstf2,pstf2,spstf2.f,dpstf2.f,pstf2,cpstf2.f,zpstf2.f,
pstrf,pstrf,spstrf.f,dpstrf.f,pstrf,cpstrf.f,zpstrf.f,
ptcon,ptcon,sptcon.f,dptcon.f,ptcon,cptcon.f,zptcon.f,
pteqr,pteqr,spteqr.f,dpteqr.f,pteqr,cpteqr.f,zpteqr.f,
ptrfs,ptrfs,sptrfs.f,dptrfs.f,ptrfs,cptrfs.f,zptrfs.f,
ptsv,ptsv,sptsv.f,dptsv.f,ptsv,cptsv.f,zptsv.f,
ptsvx,ptsvx,sptsvx.f,dptsvx.f,ptsvx,cptsvx.f,zptsvx.f,
pttrf,pttrf,spttrf.f,dpttrf.f,pttrf,cpttrf.f,zpttrf.f,
pttrs,pttrs,spttrs.f,dpttrs.f,pttrs,cpttrs.f,zpttrs.f,
ptts2,ptts2,sptts2.f,dptts2.f,ptts2,cptts2.f,zptts2.f,
rot,,,,rot,crot.f,zrot.f,
rscl,rscl,srscl.f,drscl.f,rscl,csrscl.f,zdrscl.f,
sgesv,sgesv,,dsgesv.f,,,,
spcon,spcon,sspcon.f,dspcon.f,spcon,cspcon.f,zspcon.f,
spmv,,,,spmv,cspmv.f,zspmv.f,
sposv,sposv,,dsposv.f,,,,
spr,,,,spr,cspr.f,zspr.f,
sprfs,sprfs,ssprfs.f,dsprfs.f,sprfs,csprfs.f,zsprfs.f,
spsv,spsv,sspsv.f,dspsv.f,spsv,cspsv.f,zspsv.f,
spsvx,spsvx,sspsvx.f,dspsvx.f,spsvx,cspsvx.f,zspsvx.f,
sptrf,sptrf,ssptrf.f,dsptrf.f,sptrf,csptrf.f,zsptrf.f,
sptri,sptri,ssptri.f,dsptri.f,sptri,csptri.f,zsptri.f,
sptrs,sptrs,ssptrs.f,dsptrs.f,sptrs,csptrs.f,zsptrs.f,
stebz,stebz,sstebz.f,dstebz.f,stebz,,,
stedc,stedc,sstedc.f,dstedc.f,stedc,cstedc.f,zstedc.f,
stegr,stegr,sstegr.f,dstegr.f,stegr,cstegr.f,zstegr.f,
stein,stein,sstein.f,dstein.f,stein,cstein.f,zstein.f,
stemr,stemr,sstemr.f,dstemr.f,stemr,cstemr.f,zstemr.f,
steqr,steqr,ssteqr.f,dsteqr.f,steqr,csteqr.f,zsteqr.f,
sterf,sterf,ssterf.f,dsterf.f,,,,
stev,stev,sstev.f,dstev.f,,,,
